accuracy,balanced_accuracy,f1_macro,f1_neg,f1_pos,f2_pos,fn,fp,module,precision_neg,precision_pos,recall_neg,recall_pos,run_dir,run_id,summary_file,tn,tp
0.5234626932058267,0.5410376712169024,0.5100211490460982,0.4288665289531552,0.5911757691390412,,6299.0,2272.0,rnn,0.33813176421141117,0.7317274766796552,0.5861566484517304,0.4959186939820743,/home/bear/engagement-cpu/checkpoints/runs/train_all_phase12_20260523_011612/rnn_tiny_transformer,phase12_rnn_tiny_transformer,/home/bear/engagement-cpu/checkpoints/runs/train_all_phase12_20260523_011612/rnn_tiny_transformer/train_eval_summary.json,3218.0,6197.0
0.5371356502242153,0.47480168592850336,0.4746529413436351,0.293475935828877,0.6558299468583932,,1805.0,1498.0,rnn,0.2753914090726616,0.677502691065662,0.3141025641025641,0.6355008077544426,/home/bear/engagement-cpu/checkpoints/runs/train_all_pca96_20260530_045836/rnn_gru_basic,pca96_rnn_gru_basic,/home/bear/engagement-cpu/checkpoints/runs/train_all_pca96_20260530_045836/rnn_gru_basic/train_eval_summary.json,686.0,3147.0
0.4976177130044843,0.474993268712978,0.4662085728381812,0.3367252543940796,0.5956918912822827,,2311.0,1274.0,rnn,0.2825209562247749,0.6745849297573435,0.4166666666666667,0.5333198707592892,/home/bear/engagement-cpu/checkpoints/runs/train_all_pca96_20260530_045836/rnn_gru,pca96_rnn_gru,/home/bear/engagement-cpu/checkpoints/runs/train_all_pca96_20260530_045836/rnn_gru/train_eval_summary.json,910.0,2641.0
0.5728699551569507,0.5151372590791008,,0.3442340791738382,0.683291770573566,0.6715686274509803,1664.0,1384.0,ml,0.3246753246753247,0.7037671232876712,0.3663003663003663,0.6639741518578353,/home/bear/engagement-cpu/checkpoints/runs/train_all_pca96_20260530_045836/ml,pca96_ml,/home/bear/engagement-cpu/checkpoints/runs/train_all_pca96_20260530_045836/ml/train_eval_summary.json,800.0,3288.0
0.5138733183856502,0.4913125713812305,0.4818125503185756,0.35291923148666293,0.6107058691504883,,2231.0,1238.0,rnn,0.2977651872836009,0.687294771406921,0.43315018315018317,0.5494749596122779,/home/bear/engagement-cpu/checkpoints/runs/train_all_pca96_20260530_045836/rnn_tcn,pca96_rnn_tcn,/home/bear/engagement-cpu/checkpoints/runs/train_all_pca96_20260530_045836/rnn_tcn/train_eval_summary.json,946.0,2721.0
0.5044843049327354,0.5092455336801056,0.4868735644581621,0.3918128654970761,0.581934263419248,,2491.0,1045.0,rnn,0.3137741046831956,0.701939532230462,0.5215201465201466,0.4969709208400646,/home/bear/engagement-cpu/checkpoints/runs/train_all_pca96_20260530_045836/rnn_tiny_transformer,pca96_rnn_tiny_transformer,/home/bear/engagement-cpu/checkpoints/runs/train_all_pca96_20260530_045836/rnn_tiny_transformer/train_eval_summary.json,1139.0,2461.0
0.7103433747630082,0.5390730243094121,0.4973686478166449,,,,,,cnn,,0.7110475352112676,0.0969738651994498,0.9811721834193744,/home/bear/engagement-cpu/checkpoints/runs/train_all_phase34_20260523_030236/cnn,phase34_cnn,/home/bear/engagement-cpu/checkpoints/runs/train_all_phase34_20260523_030236/cnn/train_eval_summary.json,,
0.5067264573991032,0.558721232994254,0.5033312904023609,0.4622670333027803,0.5443955475019415,,2849.0,671.0,,0.34685923888124714,0.7581110310021629,0.6927655677655677,0.42467689822294025,/home/bear/engagement-cpu/checkpoints/runs/rnn_train_eval_rnn_bilstm_copur,rnn_train_eval_rnn_bilstm_copur,/home/bear/engagement-cpu/checkpoints/runs/rnn_train_eval_rnn_bilstm_copur/eval_test.json,1513.0,2103.0
0.6418161434977578,0.706603170658098,0.6376628763498534,0.5988700564971751,0.6764556962025318,,570.0,69.0,,0.45558739255014324,0.9063772048846676,0.8736263736263736,0.5395799676898223,/home/bear/engagement-cpu/checkpoints/runs/train_all_train_all_20260530_040954/rnn_gru_basic,rnn_gru_basic,/home/bear/engagement-cpu/checkpoints/runs/train_all_train_all_20260530_040954/rnn_gru_basic/eval_test.json,477.0,668.0
0.7197309417040358,0.7734914520051839,0.7122313298783887,0.6657754010695186,0.7586872586872586,,452.0,48.0,,0.5242105263157895,0.9424460431654677,0.9120879120879121,0.6348949919224556,/home/bear/engagement-cpu/checkpoints/runs/train_all_train_all_20260530_040954/rnn_gru,rnn_gru,/home/bear/engagement-cpu/checkpoints/runs/train_all_train_all_20260530_040954/rnn_gru/eval_test.json,498.0,786.0
0.7051569506726457,0.6933758218087782,,0.5792,0.7730802415875755,0.7427055702917771,342.0,184.0,,0.5142045454545454,0.8296296296296296,0.663003663003663,0.7237479806138933,/home/bear/engagement-cpu/checkpoints/runs/train_all_train_all_20260530_040954/ml,ml,/home/bear/engagement-cpu/checkpoints/runs/train_all_train_all_20260530_040954/ml/eval_test.json,362.0,896.0
0.6967488789237668,0.7251963168764461,0.683041298647133,0.6171266808209483,0.7489559164733178,,431.0,110.0,,0.5028835063437139,0.8800436205016358,0.7985347985347986,0.6518578352180937,/home/bear/engagement-cpu/checkpoints/runs/train_all_train_all_20260530_040954/rnn_tcn,rnn_tcn,/home/bear/engagement-cpu/checkpoints/runs/train_all_train_all_20260530_040954/rnn_tcn/eval_test.json,436.0,807.0
0.6754484304932735,0.6474003917461106,0.6375315951317442,0.5202982601491299,0.7547649301143583,,347.0,232.0,,0.4750378214826021,0.7934105075690115,0.575091575091575,0.7197092084006462,/home/bear/engagement-cpu/checkpoints/runs/train_all_train_all_20260530_040954/rnn_tiny_transformer,rnn_tiny_transformer,/home/bear/engagement-cpu/checkpoints/runs/train_all_train_all_20260530_040954/rnn_tiny_transformer/eval_test.json,314.0,891.0
0.6569506726457399,0.5583151366673176,0.5592316039685821,0.3516949152542373,0.7667682926829268,,232.0,380.0,,0.41708542713567837,0.7258297258297258,0.304029304029304,0.8126009693053312,/home/bear/engagement-cpu/checkpoints/runs/train_all_phase34_nocnn_train_20260523_163113/rnn_gru_basic,rnn_gru_basic,/home/bear/engagement-cpu/checkpoints/runs/train_all_phase34_nocnn_train_20260523_163113/rnn_gru_basic/eval_test.json,166.0,1006.0
0.5627802690582959,0.572875428287383,0.5452780838623913,0.45606694560669453,0.6344892221180881,,561.0,219.0,,0.36824324324324326,0.7555803571428571,0.5989010989010989,0.5468497576736672,/home/bear/engagement-cpu/checkpoints/runs/train_all_phase34_nocnn_train_20260523_163113/rnn_gru,rnn_gru,/home/bear/engagement-cpu/checkpoints/runs/train_all_phase34_nocnn_train_20260523_163113/rnn_gru/eval_test.json,327.0,677.0
0.6289237668161435,0.5836780344050134,,0.4351535836177474,0.7237061769616027,0.70949263502455,371.0,291.0,,0.4073482428115016,0.7487046632124352,0.46703296703296704,0.7003231017770598,/home/bear/engagement-cpu/checkpoints/runs/train_all_phase34_nocnn_train_20260523_163113/ml,ml,/home/bear/engagement-cpu/checkpoints/runs/train_all_phase34_nocnn_train_20260523_163113/ml/eval_test.json,255.0,867.0
0.5151345291479821,0.5794957600288779,0.5134490739937906,0.48481238832638474,0.5420857596611964,,726.0,139.0,,0.3592233009708738,0.7864823348694316,0.7454212454212454,0.4135702746365105,/home/bear/engagement-cpu/checkpoints/runs/train_all_phase34_nocnn_train_20260523_163113/rnn_tcn,rnn_tcn,/home/bear/engagement-cpu/checkpoints/runs/train_all_phase34_nocnn_train_20260523_163113/rnn_tcn/eval_test.json,407.0,512.0
0.6182735426008968,0.5821468515329582,0.57504420414181,0.43950617283950616,0.7105822354441138,,402.0,279.0,,0.3991031390134529,0.7497757847533633,0.489010989010989,0.6752827140549273,/home/bear/engagement-cpu/checkpoints/runs/train_all_phase34_nocnn_train_20260523_163113/rnn_tiny_transformer,rnn_tiny_transformer,/home/bear/engagement-cpu/checkpoints/runs/train_all_phase34_nocnn_train_20260523_163113/rnn_tiny_transformer/eval_test.json,267.0,836.0
0.6418161434977578,0.706603170658098,0.6376628763498534,0.5988700564971751,0.6764556962025318,,570.0,69.0,,0.45558739255014324,0.9063772048846676,0.8736263736263736,0.5395799676898223,/home/bear/engagement-cpu/checkpoints/runs/train_all_train_all_20260529_170448/rnn_gru_basic,rnn_gru_basic,/home/bear/engagement-cpu/checkpoints/runs/train_all_train_all_20260529_170448/rnn_gru_basic/eval_test.json,477.0,668.0
